reviews,mae,rmse
100500,1.102146,1.464637
200500,1.048997,1.410605
300500,0.987017,1.338218
400500,0.959397,1.299005
500500,0.932516,1.263913
600500,0.915235,1.250432
700500,0.903397,1.252153
800500,0.886341,1.22091
900500,0.877185,1.209965
1000500,0.865681,1.201492
1100500,0.856913,1.19219
1200500,0.891077,1.271155
1300500,0.84336,1.185491
1400500,0.840342,1.199668
1500500,0.833948,1.192003
1600500,0.830731,1.222911
1700500,0.824761,1.201347
1800500,0.821664,1.184347
1900500,0.81501,1.197389
2000500,0.816953,1.18574
2100500,0.811486,1.220843
2200500,0.809987,1.205793
2300500,0.804706,1.207883
2400500,0.802749,1.193434
2500500,0.802532,1.199607
2600500,0.800012,1.289994
2700500,0.796771,1.240559
2800500,0.79441,1.204535
2900500,0.794365,1.25803
3000500,0.794597,1.267584
3100500,0.789862,1.221605
3200500,0.789143,1.250235
3300500,0.787808,1.234908
3400500,0.788158,1.269523
3500500,0.785897,1.343803
3600500,0.78322,1.272168
3700500,0.783473,1.247123
3800500,0.783192,1.280329
3900500,0.781005,1.260578
4000500,0.780378,1.293153
4100500,0.780661,1.301475
4200500,0.779862,1.296373
4300500,0.777485,1.316561
4400500,0.777864,1.306427
4500500,0.776831,1.35848
4600500,0.778425,1.394075
4700500,0.777931,1.36085
4800500,0.774057,1.29647
4900500,0.775285,1.441315
5000500,0.774513,1.402818
5100500,0.773884,1.415282
5200500,0.773459,1.364821
5300500,0.771752,1.374245
5400500,0.770981,1.407616
5500500,0.770721,1.416582
5600500,0.772144,1.475179
5700500,0.770618,1.462562
5800500,0.770877,1.420574
5900500,0.768879,1.38752
6000500,0.769702,1.486114
6100500,0.770356,1.446543
6200500,0.768071,1.384094
6300500,0.769056,1.511781
6400500,0.770198,1.535216
6500500,0.769799,1.496961
6600500,0.768334,1.578157
6700500,0.768165,1.521775
6800500,0.767149,1.482694
6900500,0.768711,1.60506
7000500,0.767021,1.563568
7100500,0.767855,1.62105
7200500,0.765448,1.501878
7300500,0.765221,1.514666
7400500,0.766872,1.61049
7500500,0.765373,1.587452
7600500,0.765996,1.558768
7700500,0.766501,1.62212
7800500,0.76643,1.668939
7900500,0.767318,1.643673
8000500,0.766891,1.700635
8100500,0.765684,1.629987
8200500,0.766175,1.64122
8300500,0.766112,1.744225
8400500,0.766339,1.638495
8500500,0.767164,1.74361
8600500,0.766815,1.702718
8700500,0.767182,1.776744
8800500,0.765572,1.685249
8900500,0.766727,1.802539
9000500,0.76564,1.723595
9100500,0.766988,1.75066
9200500,0.765707,1.742541
9300500,0.765917,1.818264
9400500,0.766043,1.793922
9500500,0.765887,1.840335
9600500,0.76675,1.821052
9700500,0.766831,1.872637
9800500,0.766888,1.80429
9900500,0.767636,1.899426
10000500,0.766603,1.83248
10100500,0.767184,1.862278
10200500,0.76745,1.940618
10300500,0.76804,1.891032
10400500,0.767207,1.881167
10500500,0.767834,1.917831
10600500,0.767961,1.92032
10700500,0.768506,1.995687
10800500,0.768057,2.008307
10900500,0.768916,2.032225
11000500,0.76808,1.987859
11100500,0.769489,2.060341
11200500,0.76833,2.003113
11300500,0.768015,1.96202
11400500,0.768108,2.027387
11500500,0.769079,2.045932
11600500,0.769846,2.127107
11700500,0.769422,2.083347
11800500,0.769869,2.101491
11900500,0.769127,2.074401
12000500,0.770198,2.152649
